280       LIBERTY MUTUAL INSURANCE GROUP          75    BOSTON              MA   2116      50000     
281       LIFEPOINT HEALTH                        374   BRENTWOOD           TN   37027     47000     
282       LINCOLN NATIONAL                        207   RADNOR              PA   19087     9057      
283       LITHIA MOTORS                           318   MEDFORD             OR   97501     11170     
284       LIVE NATION ENTERTAINMENT               330   BEVERLY HILLS       CA   90210     11500     
285       LKQ                                     304   CHICAGO             IL   60661     42500     
286       LOCKHEED MARTIN                         56    BETHESDA            MD   20817     97000     
287       LOEWS                                   213   NEW YORK            NY   10065     15800     
288       LOWE'S                                  40    MOORESVILLE         NC   28117     240000    
289       M&T BANK CORP.                          455   BUFFALO             NY   14203     16487     
290       MACY'S                                  110   CINCINNATI          OH   45202     148300    
291       MANPOWERGROUP                           146   MILWAUKEE           WI   53212     28000     
292       MARATHON PETROLEUM                      51    FINDLAY             OH   45840     44460     
293       MARKEL                                  460   GLEN ALLEN          VA   23060     10900     
294       MARRIOTT INTERNATIONAL                  163   BETHESDA            MD   20817     226500    
295       MARSH & MCLENNAN                        210   NEW YORK            NY   10036     60000     
296       MASCO                                   372   TAYLOR              MI   48180     26000     
297       MASSACHUSETTS MUTUAL LIFE INSURANCE     77    SPRINGFIELD         MA   10111     11737     
298       MASTERCARD                              267   PURCHASE            NY   10577     11900     
299       MATTEL                                  474   EL SEGUNDO          CA   90245     32000     
300       MCDONALD'S                              112   OAK BROOK           IL   60523     375000    
301       MCKESSON                                5     SAN FRANCISCO       CA   94104     68000     
302       MERCK                                   69    KENILWORTH          NJ   7033      68000     
303       METLIFE                                 42    NEW YORK            NY   10166     58000     
304       MGM RESORTS INTERNATIONAL               297   LAS VEGAS           NV   89109     66500     
305       MICHAELS COS.                           496   IRVING              TX   75063     31000     
306       MICRON TECHNOLOGY                       226   BOISE               ID   83716     31400     
307       MICROSOFT                               28    REDMOND             WA   98052     114000    
308       MOHAWK INDUSTRIES                       311   CALHOUN             GA   30701     37800     
309       MOLINA HEALTHCARE                       156   LONG BEACH          CA   90802     21000     
310       MONDELEZ INTERNATIONAL                  109   DEERFIELD           IL   60015     90000     
311       MONSANTO                                204   SAINT LOUIS         MO   63167     22450     
312       MORGAN STANLEY                          76    NEW YORK            NY   10036     55311     
313       MOSAIC                                  377   PLYMOUTH            MN   55441     8700      
314       MOTOROLA SOLUTIONS                      433   CHICAGO             IL   60661     14000     
315       MURPHY USA                              291   EL DORADO           AR   71730     6600      
316       MUTUAL OF OMAHA INSURANCE               342   OMAHA               NE   68175     5732      
317       NATIONAL OILWELL VARCO                  375   HOUSTON             TX   77036     36384     
318       NATIONWIDE                              68    COLUMBUS            OH   43215     34320     
319       NAVISTAR INTERNATIONAL                  337   LISLE               IL   60532     11300     
320       NCR                                     409   ATLANTA             GA   30308     33500     
321       NETAPP                                  468   SUNNYVALE           CA   94089     12030     
322       NETFLIX                                 314   LOS GATOS           CA   95032     3850      
323       NEW YORK LIFE INSURANCE                 65    NEW YORK            NY   10010     11320     
324       NEWELL BRANDS                           208   HOBOKEN             NJ   7030      53400     
325       NEWMONT MINING                          328   GREENWOOD VILLAGE   CO   80111     12438     
326       NEWS CORP.                              332   NEW YORK            NY   10036     24000     
327       NEXTERA ENERGY                          170   JUNO BEACH          FL   33408     14700     
328       NGL ENERGY PARTNERS                     237   TULSA               OK   74136     3200      
329       NIKE                                    88    BEAVERTON           OR   97005     70700     
330       NORDSTROM                               188   SEATTLE             WA   98101     72500     
331       NORFOLK SOUTHERN                        284   NORFOLK             VA   23510     27856     
332       NORTHROP GRUMMAN                        114   FALLS CHURCH        VA   22042     67000     
333       NORTHWESTERN MUTUAL                     97    MILWAUKEE           WI   53202     5646      
334       NRG ENERGY                              229   PRINCETON           NJ   8540      8763      
335       NUCOR                                   169   CHARLOTTE           NC   28211     23900     
336       NVIDIA                                  387   SANTA CLARA         CA   95051     10299     
337       NVR                                     446   RESTON              VA   20190     4900      
338       O'REILLY AUTOMOTIVE                     323   SPRINGFIELD         MO   65802     58397     
339       OCCIDENTAL PETROLEUM                    278   LOS ANGELES         CA   90024     11000     
340       OFFICE DEPOT                            203   BOCA RATON          FL   33496     38000     
341       OLD REPUBLIC INTERNATIONAL              439   CHICAGO             IL   60601     8500      
342       OLIN                                    467   CLAYTON             MO   63105     6400      
343       OMNICOM GROUP                           179   NEW YORK            NY   10022     78500     
344       ONEOK                                   312   TULSA               OK   74103     2384      
345       ORACLE                                  81    REDWOOD CITY        CA   94065     136000    
346       OSHKOSH                                 425   OSHKOSH             WI   54902     13800     
347       OWENS & MINOR                           288   MECHANICSVILLE      VA   23116     7900      
348       OWENS CORNING                           458   TOLEDO              OH   43659     16000     
349       OWENS-ILLINOIS                          401   PERRYSBURG          OH   43551     27000     
350       PACCAR                                  164   BELLEVUE            WA   98004     23000     
351       PACIFIC LIFE                            302   NEWPORT BEACH       CA   92660     3628      
352       PACKAGING CORP. OF AMERICA              450   LAKE FOREST         IL   60045     14000     
353       PARKER-HANNIFIN                         251   CLEVELAND           OH   44124     48950     
354       PATTERSON                               466   SAINT PAUL          MN   55120     7000      
355       PAYPAL HOLDINGS                         264   SAN JOSE            CA   95131     18100     
356       PBF ENERGY                              172   PARSIPPANY          NJ   7054      3165      
357       PENSKE AUTOMOTIVE GROUP                 142   BLOOMFIELD HILLS    MI   48302     24000     
358       PEPSICO                                 44    PURCHASE            NY   10577     264000    
359       PERFORMANCE FOOD GROUP                  171   RICHMOND            VA   23238     13000     
360       PETER KIEWIT SONS'                      324   OMAHA               NE   68131     20000     
